"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"051502","HC3N, (0,0,0,1)","458","1","HTML | ASCII","e051502.cat","Oct. 2000",""
"051503","HC3N, (0,0,0,2)","528","1","HTML | ASCII","e051503.cat","Oct. 2000",""
"051504","HC3N, (0,0,1,0)","320","1","HTML | ASCII","e051504.cat","Oct. 2000",""
"051505","HC3N, (0,0,1,1)","480","2*","HTML | ASCII","e051505.cat","Nov. 2011",""
"051506","HC3N, (1,0,0,0)","112","2*","HTML | ASCII","e051506.cat","Apr. 2012",""
"051507","HC3N, (1,0,0,1)","248","1","HTML | ASCII","e051507.cat","Oct. 2000",""
"051508","HC3N, (0,1,0,0)/(0,0,0,3)","699","1","HTML | ASCII","e051508.cat","Nov. 2000",""
"051509","HC3N, (1,0,0,2)/(0,2,0,0)0e","472","1","HTML | ASCII","e051509.cat","Oct. 2000",""
"051510","KC","257","1","HTML | ASCII","e051510.cat","Jan. 2001",""
"051511","13CCCN","1011","1","HTML | ASCII","e051511.cat","Dec. 2003",""
"051512","C13CCN","1014","1","HTML | ASCII","e051512.cat","Dec. 2003",""
"051513","CC13CN","996","1","HTML | ASCII","e051513.cat","Dec. 2003",""
"051514","C315N","312","1","HTML | ASCII","e051514.cat","Dec. 2003",""
"051515","l-13CC3H2","220","1*","HTML | ASCII","e051515.cat","Mar. 2006",""
"051516","l-C13CC2H2","104","1*","HTML | ASCII","e051516.cat","Mar. 2006",""
"051517","l-C213CCH2","210","1*","HTML | ASCII","e051517.cat","Mar. 2006",""
"051518","l-C313CH2","218","1*","HTML | ASCII","e051518.cat","Mar. 2006",""
"051519","HC3N, v3 = 1","96","1*","HTML | ASCII","e051519.cat","Oct. 2007",""
"051520","HC3N, v2 = 1","98","1*","HTML | ASCII","e051520.cat","Oct. 2007",""
"051521","l-C4HD","35","1*","HTML | ASCII","e051521.cat","June 2009",""
"051522","HC3N, ν3 band","191","1*","HTML | ASCII","e051522.cat","Dec. 2011","w051522.cat"
"051523","HC3N, ν2 band","205","1*","HTML | ASCII","e051523.cat","Dec. 2011","w051523.cat"
"051524","HC3N, ν1 band","261","1*","HTML | ASCII","e051524.cat","Dec. 2011","w051524.cat"
"051525","HC3N, (0,0,0,4)/(0,1,0,1)","1052","1*","HTML | ASCII","e051525.cat","Apr. 2012",""
"051526","HC3N, (0,0,2,0)","319","1*","HTML | ASCII","e051526.cat","Apr. 2012",""
"051527","HMgNC","45","1*","HTML | ASCII","e051527.cat","Sep. 2013",""
"051528","HNC3","79","1*","HTML | ASCII","e051528.cat","Nov. 2017",""
"051529","AlC2","262","1*","HTML | ASCII","e051529.cat","Apr. 2018",""
"051530","CH2DCl","7236","1*","HTML | ASCII","e051530.cat","Aug. 2020",""
"052501","C3O, v = 0","115","2*","HTML | ASCII","e052501.cat","Jan. 2009",""
"052502","36SO","330","1","HTML | ASCII","e052502.cat","Aug. 1998",""
"052503","HC3NH+","149","1","HTML | ASCII","e052503.cat","Dec. 2000",""
"052504","KCH","197","1","HTML | ASCII","e052504.cat","Jan. 2001",""
"052505","CaC","205","1","HTML | ASCII","e052505.cat","Oct. 2002",""
